rollout/exploration_rate,Avg_2_headway,time/fps,Avg_0_headway,time/total_timesteps,time/episodes,time/time_elapsed,Total_Lane_Changes,Total_Crashed_Cras,Avg_1_speed,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
0.7530599999999996,13.72243864263919,11,0.0,9797,247,875,3.0,2,3.3085077779976446,3.3085077779976446,22.524484271703113,419.4051360805306,-12.37621092,39.35,2424,0.008959375321865082,0.005
0.753045,,11,,9797,248,875,,,,,,,-12.67079477,39.55,,,
0.7521600000000004,0.2249580105350687,11,324.3586358459692,9857,248,881,162.0,2,13.035632050179498,13.035632050179498,12.99061161998399,442.48207290550897,-12.67079477,39.55,2439,0.039102502167224884,0.005
0.7512600000000003,419.17798428215065,11,998.4597870890726,9917,249,886,2.0,2,10.467197900322626,9.264205518012705,9.264205518012705,0.0,-12.738018120000001,39.91,2454,0.06607051193714142,0.005
0.7506299999999997,9.748325215863968,11,298.76868224361016,9959,250,890,106.0,2,11.082399137235834,11.054422570205373,10.588509732410559,468.6829578710604,-13.251076229999999,39.91,2464,0.02749471366405487,0.005
0.7497299999999996,0.0,11,615.6873375436569,10019,251,895,3.0,1,15.504334166937975,15.504334166937975,17.498435320217602,226.9504199625576,-13.268300830000001,39.95,2479,0.18258093297481537,0.005
0.749715,,11,,10019,252,895,,,,,,,-13.231002329999999,39.95,,,
0.7494749999999998,0.0,11,258.05245455007366,10036,252,897,42.0,2,13.7665638782726,13.7665638782726,14.063665466482572,278.359404352411,-13.231002329999999,39.95,2483,0.1597633957862854,0.005
0.7490850000000002,0.0,11,483.1495907899613,10062,253,899,2.0,2,9.693234254011285,9.693234254011285,9.990832993473742,5.259189829777483,-13.192365409999997,39.74,2490,0.15896326303482056,0.005
0.7481999999999998,132.89021924639377,11,590.5485771945475,10121,254,905,107.0,2,10.935090026356624,10.342963871475497,10.452606475406391,65.36323082619312,-13.28510468,39.72,2505,0.10016803443431854,0.005
0.7479600000000004,0.0,11,297.42166583629717,10137,255,906,2.0,2,10.742877148501883,10.742877148501883,10.164787631398369,326.7084305348551,-13.73552686,40.23,2509,0.10976634919643402,0.005
0.7479449999999999,,11,,10137,256,906,,,,,,,-13.21726927,39.79,,,
0.7470600000000003,0.3793187972410869,11,164.76202507059583,10197,256,911,159.0,2,10.107285656560384,10.107285656560384,11.04755539457543,259.1365238793821,-13.21726927,39.79,2524,0.1287933886051178,0.005
0.7468949999999996,0.0,11,351.4415823901203,10208,257,912,3.0,2,13.272276080494464,13.272276080494464,13.447409351559985,276.4328259772259,-13.689493319999999,39.79,2526,0.0639953687787056,0.005
0.7459949999999996,0.0,11,489.9783566694937,10268,258,918,164.0,1,17.52822750804327,17.52822750804327,17.29445067446348,305.11969505828336,-13.715061100000003,39.8,2541,0.1924167275428772,0.005
0.745455,0.0,11,16.37482351513995,10304,259,921,2.0,2,8.29314501151808,8.29314501151808,8.525324349705112,293.1463763956249,-13.746122940000003,40.22,2550,0.27726617455482483,0.005
0.7454400000000003,,11,,10304,260,921,,,,,,,-14.119333300000001,40.36,,,
0.7453349999999999,0.0,11,252.94041193324958,10312,260,922,16.0,2,23.401043801072674,23.401043801072674,23.41032875383344,286.196407629223,-14.119333300000001,40.36,2552,0.10043692588806152,0.005
0.7450199999999999,0.0,11,28.835811407172855,10333,261,924,2.0,2,9.61931178905575,9.61931178905575,9.916602389058138,348.18286113621696,-13.82326112,40.04,2558,0.19558903574943542,0.005
0.7441199999999999,0.0,11,528.2235689513271,10393,262,929,83.0,1,17.41077160784547,17.41077160784547,17.16986699725019,292.6962135069253,-13.859748009999999,39.86,2573,0.19323007762432098,0.005
0.7438500000000003,0.0,11,378.59214692963695,10411,263,931,3.0,2,7.756384126899718,7.756384126899718,7.994445148823137,247.30363841916085,-13.692403299999999,39.91,2577,0.11940993368625641,0.005
0.743835,,11,,10411,264,931,,,,,,,-13.65929557,39.89,,,
0.7437300000000002,0.0,11,311.37424044324257,10419,264,931,17.0,2,21.280981411335258,21.280981411335258,21.433374613532298,269.0883468564341,-13.65929557,39.89,2579,0.11251820623874664,0.005
0.7429349999999999,0.0,11,488.55496627481864,10472,265,936,3.0,2,8.020700378989599,8.020700378989599,7.546780307290634,517.4474545811927,-13.7247496,39.37,2592,0.1755126416683197,0.005
0.7423199999999996,0.0,11,461.09476395432455,10513,266,940,116.0,2,16.74968888378064,16.74968888378064,16.51881244002795,315.4633847578846,-13.81292249,39.61,2603,0.28880634903907776,0.005
0.742095,0.0,11,188.15689033656747,10528,267,941,3.0,2,11.096249735564065,11.096249735564065,11.378278923977499,367.88431285433467,-13.844366369999998,39.42,2606,0.08107870817184448,0.005
0.7420800000000003,,11,,10528,268,941,,,,,,,-13.811244250000001,39.22,,,
0.7411949999999998,63.32077180424224,11,552.2058118645147,10588,268,946,174.0,2,12.00646830055784,11.518362871902855,11.613929808551479,110.97450558177599,-13.811244250000001,39.22,2621,0.07203541696071625,0.005
0.7404600000000003,0.0,11,7.8963716226644465,10637,269,951,3.0,2,8.018304890550624,8.018304890550624,8.960194196648514,293.60391879390454,-13.979236349999999,39.22,2634,0.06955321133136749,0.005
0.7395600000000002,73.32830160623013,11,580.7557039986292,10697,270,956,172.0,2,11.060503834128175,10.55274717330702,10.709039628496344,85.61858659571959,-14.405259639999999,39.45,2649,0.07037293165922165,0.005
