Avg_2_headway,time/fps,Avg_0_headway,time/total_timesteps,time/time_elapsed,Total_Lane_Changes,time/iterations,Total_Crashed_Cras,Avg_1_speed,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/value_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate
0.49080487307511905,10,279.32910279309453,366901,34205,33.0,6619,0,20.03286144057323,19.867478241772858,20.036055593470962,290.76961874385546,38.67978009,58.49,,,,,,,,,,
0.0,10,287.1692185301049,366961,34211,0.0,6620,0,20.000000000000014,20.000000000000014,20.000000000000014,284.95241358258954,38.68561765,58.49,,,,,,,,,,
0.0,10,285.7653392631113,367021,34217,58.0,6621,0,20.098861476266464,20.098861476266464,20.098861476266464,287.5589517893159,38.69145522,58.49,,,,,,,,,,
0.0,10,288.6055028365779,367081,34222,1.0,6622,0,20.000000000000014,20.000000000000014,20.000000000000014,291.2942473783078,38.9302877,58.49,,,,,,,,,,
,10,,367104,34225,,717,,,,,,38.92825724,58.49,,,,,,,,,,
41.29539399880225,10,272.8228275324617,367134,34228,126.0,6623,1,17.144075109056597,16.49069968953972,16.690787983433502,127.38224373886057,38.92825724,58.49,7170,40.726367176696655,0.040210526,1.3914355039596558,-1.9394442930817604,0.77417123,-0.019209220982156695,0.3201171875,0.2,0.0003
0.0,10,289.20908328181144,367194,34234,0.0,6624,0,20.000000000000014,20.000000000000014,20.000000000000014,280.9239883112857,39.139424749999996,58.42,,,,,,,,,,
0.0,10,302.59389740919386,367254,34240,62.0,6625,1,20.097126974967605,20.097126974967605,20.077140090282196,277.8977795929128,39.135871449999996,58.42,,,,,,,,,,
0.0,10,305.0646301034694,367314,34245,3.0,6626,2,9.31262425413069,9.31262425413069,10.513658235996843,247.64668151656838,39.006373419999996,58.42,,,,,,,,,,
0.0,10,282.12752816775065,367374,34251,34.0,6627,0,19.923658595186637,19.923658595186637,19.943347676856575,298.67549474142345,38.320389209999995,58.42,,,,,,,,,,
0.0,10,277.82868831664337,367434,34257,1.0,6628,0,20.000000000000014,20.000000000000014,20.000000000000014,285.25525002642576,38.33257195,58.42,,,,,,,,,,
0.0,10,220.85362416404413,367494,34262,31.0,6629,2,17.538621908447496,17.538621908447496,17.4359518573021,350.7164707695277,38.34424708,58.42,,,,,,,,,,
0.0,10,280.6154743419213,367554,34268,2.0,6630,0,21.425035846736336,21.425035846736336,21.29548713339667,287.9827947276556,38.659447300000004,58.82,,,,,,,,,,
0.0,10,343.68027779132336,367612,34274,50.0,6631,2,17.321215642514474,17.321215642514474,17.18680891357474,293.1932680921578,38.6632544,58.82,,,,,,,,,,
,10,,367616,34274,,718,,,,,,39.10383534,58.8,,,,,,,,,,
140.5748904507559,10,0.0,367672,34280,3.0,6632,2,0.006655969706639394,0.006655969706639394,20.004202387135333,188.2900784565893,39.10383534,58.8,7180,46.493277211487296,0.03979581,0.4621078372001648,-1.8557049952447415,0.78600997,-0.0018533593218307942,0.31171875,0.2,0.0003
2.304506400832064,10,281.992598262995,367732,34286,35.0,6633,0,19.771101738064935,19.771101738064935,20.09893036785885,287.2527770779031,38.441709,58.8,,,,,,,,,,
0.0,10,286.101100500822,367792,34292,0.0,6634,0,20.000000000000014,20.000000000000014,20.000000000000014,280.5292261918562,38.491709,58.8,,,,,,,,,,
0.0,10,299.6771458230262,367852,34298,54.0,6635,0,20.098861476266464,20.098861476266464,20.098861476266464,290.9596229751589,39.24678515000001,58.87,,,,,,,,,,
