Avg_1_headway,Avg_1_speed,time/iterations,time/time_elapsed,Total_Lane_Changes,Avg_0_headway,Avg_0_speed,Avg_2_speed,Total_Crashed_Cras,Avg_2_headway,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/approx_kl,train/explained_variance
379.51918578348443,13.761983531994833,4390,29340,0.0,578.8193609701539,15.536539171464659,13.761983531994833,1,0.0,8,252406,59.95,32.438381299999996,,,,,,,,,,
,,493,29341,,,,,,,8,252416,59.95,31.880259469999995,,,,,,,,,,
306.331944992847,20.304953285214506,4391,29352,42.0,287.96477646912706,20.31062057335469,20.304953285214506,0,0.0,8,252466,59.95,31.880259469999995,67.62770751714706,0.0546875,0.0003,-0.0077510125120170414,0.2,-1.6762041375041008,23.16960906982422,4930,0.0061888,0.0
757.8372928690044,7.97157283248195,4392,29357,1.0,337.91756211191114,7.496672166076485,7.97157283248195,2,0.0,8,252526,59.95,31.89244221,,,,,,,,,,
318.79953768465754,20.153964086812252,4393,29363,1.0,298.4019595842567,20.127013912599534,20.153964086812252,0,0.0,8,252586,59.95,31.121037809999997,,,,,,,,,,
323.18722829491526,20.000202387909486,4394,29370,1.0,281.90464552842695,20.000202387909468,20.000202387909486,0,0.0,8,252646,59.95,31.26074453,,,,,,,,,,
290.33135661705234,20.59235810354914,4395,29376,16.0,280.29121348772844,20.573198872029,20.59235810354914,0,0.0,8,252706,59.95,31.77563455,,,,,,,,,,
308.9256164671192,14.535434261591083,4396,29383,1.0,949.3925707348574,14.317714399028748,14.535434261591083,1,0.0,8,252766,59.95,31.79086298,,,,,,,,,,
291.64511534099506,20.20124507033207,4397,29389,54.0,302.37670222071176,20.19554645699213,20.20124507033207,0,0.0,8,252826,59.95,31.796954349999996,,,,,,,,,,
300.6280287089944,20.00000000504459,4398,29396,0.0,301.91434063149904,20.00000000504459,20.00000000504459,0,0.0,8,252886,59.95,32.43384098,,,,,,,,,,
,,494,29400,,,,,,,8,252928,59.95,32.67800342,,,,,,,,,,
317.3362258615606,15.521224377780474,4399,29408,123.0,282.9791875664595,15.848854961932945,15.521224377780474,1,0.0,8,252946,59.95,32.67800342,55.74639756679535,0.046484375,0.0003,-0.004204753995873034,0.2,-1.5650970190763474,27.14682960510254,4940,0.009045295,0.0
302.57980560559145,20.00117844815705,4400,29414,2.0,288.9190299914849,20.001178448150466,20.00117844815705,0,0.0,8,253006,59.95,32.11999439,,,,,,,,,,
277.5724078176413,20.45478186367428,4401,29420,2.0,290.02199660519096,20.45265242840901,20.45478186367428,0,0.0,8,253066,59.95,32.12329388,,,,,,,,,,
311.2195244221359,20.000000000000014,4402,29427,1.0,292.58830790593197,20.000000000000014,20.000000000000014,0,0.0,8,253126,59.95,32.160603529999996,,,,,,,,,,
284.46720964070295,20.62002851088354,4403,29433,80.0,280.7661811986932,20.611510785004914,20.62002851088354,0,0.0,8,253186,59.95,32.87278627,,,,,,,,,,
309.38252558187855,20.0068960177314,4404,29440,1.0,288.1150828506263,20.00689601526519,20.0068960177314,0,0.0,8,253246,59.95,32.85451215999999,,,,,,,,,,
293.7465961227208,20.565767178731694,4405,29446,72.0,287.6423219525471,20.542349091822803,20.565767178731694,0,0.0,8,253306,59.95,32.84486749,,,,,,,,,,
0.0,8.411823062463386,4406,29452,2.0,617.220083161757,7.451033678648665,7.451033678648665,2,200.19836793496484,8,253366,59.95,32.85172028,,,,,,,,,,
288.5942945485874,15.33953892223871,4407,29459,100.0,527.4890371407034,15.113530919369207,15.3237882766024,1,3.281940457950243,8,253426,59.95,32.10459676000001,,,,,,,,,,
,,495,29460,,,,,,,8,253440,60.0,32.22628317,,,,,,,,,,
